STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTS,clean-income-data_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
"24","510","270302","24510270302",1400000US24510270302,"2703.02",Census Tract 2703.02,G5020,S,"519259","0","+39.3448975","-076.5638561",4,"71548","17932","718","137"
"24","510","270600","24510270600",1400000US24510270600,"2706",Census Tract 2706,G5020,S,"1553593","0","+39.3583436","-076.5660281",7,"80570","13882","1786","194"
"24","510","270401","24510270401",1400000US24510270401,"2704.01",Census Tract 2704.01,G5020,S,"1457277","0","+39.3462013","-076.5467855",14,"78711","17744","1834","225"
"24","510","270402","24510270402",1400000US24510270402,"2704.02",Census Tract 2704.02,G5020,S,"1201224","0","+39.3512325","-076.5540354",3,"92841","23072","1205","179"
"24","510","270502","24510270502",1400000US24510270502,"2705.02",Census Tract 2705.02,G5020,S,"1539775","0","+39.3570603","-076.5441945",13,"86905","19937","1614","146"
"24","510","151200","24510151200",1400000US24510151200,"1512",Census Tract 1512,G5020,S,"779694","0","+39.3310485","-076.6598579",26,"29292","15979","1577","230"
"24","510","151300","24510151300",1400000US24510151300,"1513",Census Tract 1513,G5020,S,"927386","0","+39.3378526","-076.6661876",23,"50341","15224","1521","343"
"24","510","160400","24510160400",1400000US24510160400,"1604",Census Tract 1604,G5020,S,"389583","0","+39.2980135","-076.6481402",5,"31484","12542","735","157"
"24","510","160700","24510160700",1400000US24510160700,"1607",Census Tract 1607,G5020,S,"953875","14242","+39.3020563","-076.6686304",11,"44674","9098","1480","190"
"24","510","160801","24510160801",1400000US24510160801,"1608.01",Census Tract 1608.01,G5020,S,"389703","0","+39.2980940","-076.6840558",12,"48828","23424","1174","121"
"24","510","160802","24510160802",1400000US24510160802,"1608.02",Census Tract 1608.02,G5020,S,"1226587","0","+39.3002221","-076.6796308",5,"53472","15225","1038","138"
"24","510","270702","24510270702",1400000US24510270702,"2707.02",Census Tract 2707.02,G5020,S,"837141","0","+39.3643635","-076.5627410",8,"67011","5603","1043","127"
"24","510","270801","24510270801",1400000US24510270801,"2708.01",Census Tract 2708.01,G5020,S,"806701","0","+39.3691930","-076.5912570",7,"61875","16885","1309","145"
"24","510","270703","24510270703",1400000US24510270703,"2707.03",Census Tract 2707.03,G5020,S,"993947","0","+39.3686909","-076.5542537",6,"118454","61785","1363","199"
"24","510","270802","24510270802",1400000US24510270802,"2708.02",Census Tract 2708.02,G5020,S,"1099564","0","+39.3614244","-076.5928428",23,"55929","18356","2467","475"
"24","510","271400","24510271400",1400000US24510271400,"2714",Census Tract 2714,G5020,S,"1717441","0","+39.3468547","-076.6336391",18,"149844","37963","1512","139"
"24","510","271501","24510271501",1400000US24510271501,"2715.01",Census Tract 2715.01,G5020,S,"3628340","18282","+39.3642233","-076.6614760",23,"113403","14676","1777","150"
"24","510","120700","24510120700",1400000US24510120700,"1207",Census Tract 1207,G5020,S,"1034427","9367","+39.3184095","-076.6235290",13,"68929","2395","1006","130"
"24","510","130100","24510130100",1400000US24510130100,"1301",Census Tract 1301,G5020,S,"311272","0","+39.3152603","-076.6342242",6,"30048","6324","1732","288"
"24","510","170100","24510170100",1400000US24510170100,"1701",Census Tract 1701,G5020,S,"282140","0","+39.2971188","-076.6227994",16,"38143","5436","882","126"
"24","510","170200","24510170200",1400000US24510170200,"1702",Census Tract 1702,G5020,S,"494006","0","+39.3011752","-076.6257103",21,"14192","3676","1316","172"
"24","510","170300","24510170300",1400000US24510170300,"1703",Census Tract 1703,G5020,S,"305829","0","+39.2974131","-076.6305876",4,"21895","4705","912","122"
"24","510","190200","24510190200",1400000US24510190200,"1902",Census Tract 1902,G5020,S,"266105","0","+39.2851695","-076.6401802",7,"52000","20445","750","153"
"24","510","190300","24510190300",1400000US24510190300,"1903",Census Tract 1903,G5020,S,"352929","0","+39.2842170","-076.6444910",10,"-",**,"839","180"
"24","510","200100","24510200100",1400000US24510200100,"2001",Census Tract 2001,G5020,S,"264900","0","+39.2909656","-076.6478189",5,"39844","29945","595","223"
"24","510","200200","24510200200",1400000US24510200200,"2002",Census Tract 2002,G5020,S,"926852","0","+39.2908711","-076.6588488",16,"26551","3881","777","150"
"24","510","200300","24510200300",1400000US24510200300,"2003",Census Tract 2003,G5020,S,"244150","0","+39.2839924","-076.6481864",12,"35000","19879","440","67"
"24","510","200400","24510200400",1400000US24510200400,"2004",Census Tract 2004,G5020,S,"387906","0","+39.2856222","-076.6558429",11,"39565","10544","448","84"
"24","510","270803","24510270803",1400000US24510270803,"2708.03",Census Tract 2708.03,G5020,S,"2190787","2110","+39.3642762","-076.5803260",22,"50529","5276","2731","241"
"24","510","270805","24510270805",1400000US24510270805,"2708.05",Census Tract 2708.05,G5020,S,"1248265","0","+39.3596241","-076.6033509",18,"65571","13823","1938","212"
"24","510","270901","24510270901",1400000US24510270901,"2709.01",Census Tract 2709.01,G5020,S,"677441","0","+39.3499700","-076.5949830",11,"59142","7108","1722","217"
"24","510","270902","24510270902",1400000US24510270902,"2709.02",Census Tract 2709.02,G5020,S,"1132898","0","+39.3509521","-076.5843196",4,"70119","16522","1268","157"
"24","510","270804","24510270804",1400000US24510270804,"2708.04",Census Tract 2708.04,G5020,S,"721489","0","+39.3686599","-076.6045879",5,"54617","17176","1365","200"
"24","510","271503","24510271503",1400000US24510271503,"2715.03",Census Tract 2715.03,G5020,S,"742763","1671","+39.3534054","-076.6448877",9,"71875","15499","639","88"
"24","510","180300","24510180300",1400000US24510180300,"1803",Census Tract 1803,G5020,S,"289563","0","+39.2873082","-076.6329977",7,"57372","11399","884","173"
"24","510","190100","24510190100",1400000US24510190100,"1901",Census Tract 1901,G5020,S,"383127","0","+39.2912223","-076.6418544",6,"27386","9663","783","183"
"24","510","200500","24510200500",1400000US24510200500,"2005",Census Tract 2005,G5020,S,"653068","0","+39.2805380","-076.6540030",13,"28995","12337","930","222"
"24","510","200600","24510200600",1400000US24510200600,"2006",Census Tract 2006,G5020,S,"1770698","30330","+39.2840120","-076.6637324",20,"43869","10120","1035","209"
"24","510","200701","24510200701",1400000US24510200701,"2007.01",Census Tract 2007.01,G5020,S,"1203683","0","+39.2900137","-076.6807033",19,"39949","7710","1810","247"
"24","510","200800","24510200800",1400000US24510200800,"2008",Census Tract 2008,G5020,S,"1067262","0","+39.2801762","-076.6793608",15,"54313","10507","804","122"
"24","510","270903","24510270903",1400000US24510270903,"2709.03",Census Tract 2709.03,G5020,S,"1089334","0","+39.3426876","-076.5900973",18,"62250","21306","1270","222"
"24","510","271001","24510271001",1400000US24510271001,"2710.01",Census Tract 2710.01,G5020,S,"505077","0","+39.3430254","-076.6050586",10,"40050","7288","921","97"
"24","510","271002","24510271002",1400000US24510271002,"2710.02",Census Tract 2710.02,G5020,S,"955654","0","+39.3504128","-076.6043920",11,"59625","17660","1432","173"
"24","510","271101","24510271101",1400000US24510271101,"2711.01",Census Tract 2711.01,G5020,S,"1011783","0","+39.3498089","-076.6163060",9,"58583","19305","885","105"
"24","510","271102","24510271102",1400000US24510271102,"2711.02",Census Tract 2711.02,G5020,S,"1227625","29218","+39.3451675","-076.6202330",6,"229743","56858","497","82"
"24","510","271200","24510271200",1400000US24510271200,"2712",Census Tract 2712,G5020,S,"3599462","933","+39.3637054","-076.6203629",23,"206680","25357","2122","231"
"24","510","271300","24510271300",1400000US24510271300,"2713",Census Tract 2713,G5020,S,"2861714","3175","+39.3628280","-076.6395253",24,"163667","43687","1122","175"
"24","510","210100","24510210100",1400000US24510210100,"2101",Census Tract 2101,G5020,S,"1288245","192308","+39.2766193","-076.6265676",10,"87433","20872","1041","142"
"24","510","220100","24510220100",1400000US24510220100,"2201",Census Tract 2201,G5020,S,"1154889","284941","+39.2827739","-076.6139104",29,"87581","20314","2642","346"
"24","510","230300","24510230300",1400000US24510230300,"2303",Census Tract 2303,G5020,S,"1312474","711520","+39.2643329","-076.6193615",9,"110125","19794","746","118"
"24","510","240100","24510240100",1400000US24510240100,"2401",Census Tract 2401,G5020,S,"1906851","2352887","+39.2650952","-076.5874454",9,"157393","22319","1779","201"
"24","510","210200","24510210200",1400000US24510210200,"2102",Census Tract 2102,G5020,S,"2386963","12265","+39.2775819","-076.6395975",25,"47042","24804","1625","242"
"24","510","240200","24510240200",1400000US24510240200,"2402",Census Tract 2402,G5020,S,"435843","311903","+39.2736267","-076.6002800",10,"152722","4001","1469","130"
"24","510","271600","24510271600",1400000US24510271600,"2716",Census Tract 2716,G5020,S,"850296","0","+39.3432051","-076.6655877",15,"44303","11273","1367","227"
"24","510","271700","24510271700",1400000US24510271700,"2717",Census Tract 2717,G5020,S,"1734101","0","+39.3515530","-076.6693332",22,"47821","18019","1742","177"
"24","510","230100","24510230100",1400000US24510230100,"2301",Census Tract 2301,G5020,S,"336352","0","+39.2758115","-076.6170686",3,"102321","39466","1171","273"
"24","510","140100","24510140100",1400000US24510140100,"1401",Census Tract 1401,G5020,S,"566966","0","+39.3077211","-076.6256874",7,"63601","15590","2010","241"
"24","510","272007","24510272007",1400000US24510272007,"2720.07",Census Tract 2720.07,G5020,S,"802298","0","+39.3636968","-076.7064881",8,"57353","10533","1538","126"
