Geography,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1400000US24510270200,102543,15981,737,131
1400000US24510270301,84519,21580,1217,179
1400000US24510270302,71548,17932,718,137
1400000US24510270401,78711,17744,1834,225
1400000US24510270402,92841,23072,1205,179
1400000US24510270501,77204,12096,1664,232
1400000US24510270502,86905,19937,1614,146
1400000US24510270600,80570,13882,1786,194
1400000US24510270701,55671,12920,1041,116
1400000US24510270702,67011,5603,1043,127
1400000US24510270703,118454,61785,1363,199
1400000US24510270801,61875,16885,1309,145
1400000US24510270802,55929,18356,2467,475
1400000US24510270803,50529,5276,2731,241
1400000US24510270804,54617,17176,1365,200
1400000US24510270805,65571,13823,1938,212
1400000US24510270901,59142,7108,1722,217
1400000US24510270902,70119,16522,1268,157
1400000US24510270903,62250,21306,1270,222
1400000US24510271001,40050,7288,921,97
1400000US24510271002,59625,17660,1432,173
1400000US24510271101,58583,19305,885,105
1400000US24510271102,229743,56858,497,82
1400000US24510271200,206680,25357,2122,231
1400000US24510271300,163667,43687,1122,175
1400000US24510271400,149844,37963,1512,139
1400000US24510271501,113403,14676,1777,150
1400000US24510271503,71875,15499,639,88
1400000US24510271600,44303,11273,1367,227
1400000US24510271700,47821,18019,1742,177
1400000US24510271801,20417,20073,1080,164
1400000US24510271802,45848,14739,816,122
1400000US24510271900,62247,17355,1418,152
1400000US24510272003,71584,6408,2129,241
1400000US24510272004,72558,11069,1774,168
1400000US24510272005,71451,12363,1239,152
1400000US24510272006,41394,7965,1593,119
1400000US24510272007,57353,10533,1538,126
1400000US24510280101,52500,14118,1176,166
1400000US24510280102,53373,7570,2460,264
1400000US24510280200,68750,33029,1638,241
1400000US24510280301,55712,5670,2144,238
1400000US24510280302,67500,33422,1324,408
1400000US24510280401,58988,8524,1486,209
1400000US24510280402,63188,22777,617,95
1400000US24510280403,51728,8064,1864,154
1400000US24510280404,40156,19803,1131,121
1400000US24510280500,13036,7049,891,91
1400000US24510280600,14978,7982,1517,224
