DP05_0001E,DP05_0077PE,GEO_ID
Estimate!!SEX AND AGE!!Total population,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,id
9788,51.6,1400000US13049010100
3252,89.9,1400000US13049010200
1600,23.9,1400000US13051000100
1509,76.5,1400000US13051000300
4946,19.3,1400000US13051000601
997,79,1400000US13051000900
1865,38.7,1400000US13051001100
2494,2.4,1400000US13051001200
1177,62.9,1400000US13051001500
1430,30.2,1400000US13051002000
2149,18.8,1400000US13051002100
4361,18.9,1400000US13051002200
1615,4.6,1400000US13051002300
1732,39.7,1400000US13051002600
3146,20.5,1400000US13051002700
2830,16.7,1400000US13051002800
2858,90.6,1400000US13051002900
1778,87.8,1400000US13051003000
1797,1.5,1400000US13051003301
1871,1.4,1400000US13051003302
4440,48.4,1400000US13051003400
2769,23.2,1400000US13051003501
3569,32.9,1400000US13051003502
3721,11.5,1400000US13051003601
5061,26,1400000US13051003602
2070,23,1400000US13051003700
3064,9.7,1400000US13051003800
3521,29.7,1400000US13051003900
4499,61.7,1400000US13051004001
3219,58.2,1400000US13051004002
2065,61.9,1400000US13051004100
3349,36,1400000US13051004207
4853,31,1400000US13051004208
3386,35.6,1400000US13051004209
4999,26.3,1400000US13051004210
5339,41.7,1400000US13051004211
5629,51.7,1400000US13051004212
2864,48.1,1400000US13051004300
2460,2.3,1400000US13051004400
4286,0.4,1400000US13051004500
1025,34.5,1400000US13051010101
4517,47.5,1400000US13051010102
4781,36.2,1400000US13051010200
6176,42.9,1400000US13051010501
3700,16.7,1400000US13051010502
4099,32.8,1400000US13051010601
2095,29,1400000US13051010603
0,-,1400000US13051010605
26753,54.3,1400000US13051010700
3636,68,1400000US13051010801
8183,56.1,1400000US13051010802
10648,59.6,1400000US13051010803
6017,55.6,1400000US13051010806
6325,40.8,1400000US13051010807
11905,45.9,1400000US13051010808
11437,47.8,1400000US13051010809
3956,31.9,1400000US13051010901
6773,73.5,1400000US13051011003
